Stock,Trend,Proba,CV,Entry,Target,Stop,ATR,Score
MOTOGENFIN,Bullish,0.9467745554541155,0.6929392446633825,27.01,29.57,25.54,1.28,0.8304876314016231
FLEXITUFF,Bullish,0.9480866556296055,0.6481937602627258,16.76,18.35,15.85,1.03,0.8146695351247496
BYKE,Bullish,0.9533033475938832,0.6231527093596059,59.02,64.6,55.79,3.96,0.8096034341142141
GVKPIL,Bullish,0.954120728193974,0.6030377668308703,3.39,3.71,3.2,0.08,0.8026207702032395
FEL,Bullish,0.9560834783362473,0.5747126436781609,0.45,0.49,0.43,0.01,0.7934393923664029
MANUFGBEES,Bullish,0.9165060361393436,0.6555555555555554,154.09,168.65,145.65,2.32,0.7902318711601451
GENSOL,Bullish,0.8640017588472206,0.7417898193760263,30.1,32.95,28.45,1.51,0.7747641387626718
BANKA,Bullish,0.9395229496360229,0.557471264367816,76.07,83.26,71.91,3.51,0.7732165884360832
RANASUG,Bullish,0.9254021453121729,0.5886699507389163,13.39,14.65,12.65,0.38,0.7731438613051455
LOKESHMACH,Bullish,0.90289706566773,0.6165845648604269,155.59,170.3,147.08,8.71,0.7644231971400355
WANBURY,Bullish,0.9321799372059274,0.534072249589491,256.53,280.78,242.49,12.64,0.7584485367578604
ARSHIYA,Bullish,0.8999375919722649,0.6026272577996716,1.39,1.52,1.31,0.08,0.7568933244797932
CURAA,Bullish,0.8690295145164104,0.6736453201970444,126.48,138.43,119.56,9.71,0.755584774936682
PIONEEREMB,Bullish,0.8985840658216739,0.5878489326765188,29.2,31.95,27.6,1.57,0.7504431130983634
MANORG,Bullish,0.9225986135313489,0.5299671592775042,491.29,537.74,464.41,22.17,0.7491379546654385
AXITA,Bullish,0.8381487737345747,0.7192118226600984,9.81,10.74,9.27,0.28,0.7440118671279328
RSSOFTWARE,Bullish,0.8638598411192844,0.6506568144499179,50.52,55.3,47.76,3.05,0.7431464216131248
PALASHSECU,Bullish,0.8986745266211237,0.564039408866995,114.22,125.02,107.97,4.49,0.7419598554763562
MPSLTD,Bullish,0.87531189615247,0.6120689655172414,2136.53,2338.49,2019.6,82.01,0.739487636404673
TOKYOPLAST,Bullish,0.8802168586045379,0.5853858784893268,122.46,134.03,115.76,4.43,0.7342367227768559
UMAEXPORTS,Bullish,0.8841135939179925,0.5743021346469622,40.63,44.47,38.41,1.88,0.7335674860537957
SPECTRUM,Bullish,0.9132403355605497,0.5053366174055829,1328.61,1454.2,1255.9,89.29,0.7325417141565329
MASPTOP50,Bullish,0.8728486438103373,0.5952380952380952,71.38,78.12,67.47,1.33,0.7315302919553304
INDIANB,Bullish,0.8986310561236637,0.5348932676518884,875.86,958.65,827.92,18.91,0.7314473144835798
INNOVATIVE,Bullish,0.8823408412919915,0.5545977011494253,127.58,139.64,120.6,2.06,0.7251421856595103
TVSSCS,Bullish,0.8950343633059812,0.5180623973727422,109.28,119.61,103.3,3.43,0.7224940771777016
SBFC,Bullish,0.8640318150921205,0.5878489326765188,108.42,118.67,102.49,3.0,0.7215871611754555
MAGNUM,Bullish,0.8635124337909793,0.5878489326765189,24.99,27.36,23.63,1.37,0.7211534052973597
VENKEYS,Bullish,0.8710598228149181,0.5689655172413793,1347.6,1474.99,1273.86,30.53,0.7208770947433805
HEADSUP,Bullish,0.9022544265342216,0.4811165845648604,9.63,10.54,9.1,0.73,0.7149884831616016
AUTOAXLES,Bullish,0.8511882958968857,0.5911330049261084,1711.41,1873.19,1617.76,36.69,0.7119791755827153
UNIVPHOTO,Bullish,0.8818007584454697,0.5164203612479474,269.34,294.8,254.6,15.59,0.7112324015573313
TBZ,Bullish,0.8987742131681287,0.4761904761904762,175.67,192.28,166.06,5.53,0.7104596161233778
RADICO,Bullish,0.8164974234448381,0.6621510673234812,3239.01,3545.19,3061.75,99.25,0.7061563102272517
ROSSELLIND,Bullish,0.8418226512815237,0.5911330049261084,58.49,64.02,55.29,2.82,0.7041452521556785
TAKE,Bullish,0.869063027696553,0.5246305418719212,31.13,34.08,29.43,1.1,0.7038126194744498
AGRITECH,Bullish,0.8816161442539208,0.4827586206896552,141.91,155.32,134.14,7.09,0.6992128040634544
NGLFINE,Bullish,0.8444639911512419,0.5648604269293925,1346.5,1473.78,1272.81,57.05,0.6974801109180209
PRECWIRE,Bullish,0.8655948754892266,0.5110837438423647,259.08,283.57,244.9,11.47,0.6963135131398557
CORDSCABLE,Bullish,0.8614552299329896,0.5180623973727422,207.39,227.0,196.04,9.56,0.6953881626191424
SSDL,Bullish,0.8345938596142761,0.5763546798029556,81.97,89.72,77.48,2.11,0.6931651464579652
BASML,Bullish,0.8276689007772249,0.5882594417077175,31.1,34.05,29.4,1.48,0.6913549586623551
INDIASHLTR,Bullish,0.7821466251883729,0.7097701149425287,881.08,964.37,832.87,25.19,0.6913456951377687
VMM,Bullish,0.8490514716620298,0.535303776683087,137.63,150.64,130.1,3.92,0.6912310667488248
KSCL,Bullish,0.8564388047231074,0.5119047619047619,991.83,1085.59,937.56,38.22,0.6892293238009769
SURANASOL,Bullish,0.8109725621802983,0.6235632183908046,29.41,32.19,27.8,0.91,0.6888606016680925
RKDL,Bullish,0.7791139296996307,0.7093596059113301,25.65,28.07,24.24,1.03,0.6885371378724815
DBL,Bullish,0.853910280277024,0.5119047619047619,475.16,520.08,449.16,16.48,0.6871944636515098
ZODIACLOTH,Bullish,0.8453058166043177,0.5303776683087028,91.15,99.77,86.16,3.75,0.6865160211699434
CENTRUM,Bullish,0.832160326988848,0.5591133004926108,29.14,31.9,27.55,1.53,0.6854049589780068
NATIONALUM,Bullish,0.8396704331457734,0.5361247947454845,263.78,288.72,249.35,6.26,0.6838695153371159
SONATSOFTW,Bullish,0.8353847986782802,0.5459770114942528,359.24,393.2,339.58,10.05,0.6836712375390063
GIRIRAJ,Bullish,0.8518462524153089,0.5,113.97,124.74,107.73,9.51,0.6814770019322471
SHRIRAMFIN,Bullish,0.8809601199166003,0.4322660098522168,872.09,954.53,824.36,17.13,0.6808997183000719
