Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
ABB India Limited,ABB,ABB India Ltd,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,Active,A ,1,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
Torrent Power AEC Limited,TPAEC,Torrent Power AEC Ltd,Delisted,B ,10,INE424A01014, ,Equity,-,-,-,-
Akar Laminators Ltd.,AKARLAMIN,Akar Laminators Ltd,Delisted,XD,10,INE984C01013, ,Equity,-,-,-,-
Alpha Drugs India Ltd,ALPHADR,Alpha Drug India Ltd,Delisted,B ,10,INE256B01026, ,Equity,-,-,-,-
Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corporation Ltd,Delisted,A ,2,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
Amrut Industries Ltd,AMRTMIL-BDM,Amrut Industries Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Andhra Petrochemicals Ltd.,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X ,10,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z ,5,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
